Timestamp,1. What time do you usually wake up on  weekdays?,2. What time do you usually go to bed on weekdays?,3. When do you feel most productive during the day?,4. How many cups of coffee do you drink per day?,5. Which of the following best describes your overall productivity pattern?
3/22/2026 0:04,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),1,I am a night person
3/22/2026 0:32,6:00 AM - 8:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),1,I am a morning person
3/22/2026 6:32,6:00 AM - 8:00 AM,Before 10:00 PM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/22/2026 7:52,6:00 AM - 8:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),1,I am a morning person
3/22/2026 8:16,After 10:00 AM,Before 10:00 PM,Morning (6 AM - 12 AM),3,I am a night person
3/22/2026 10:13,6:00 AM - 8:00 AM,After 12:00 AM,Afternoon (12 PM - 6 PM),0,I am a morning person
3/22/2026 10:31,After 10:00 AM,After 12:00 AM,Morning (6 AM - 12 AM),3,I am both
3/22/2026 11:15,After 10:00 AM,Before 10:00 PM,Evening (6 PM - 9 PM),2,I am a night person
3/22/2026 11:16,Before 6:00 AM,After 12:00 AM,Evening (6 PM - 9 PM),3,I am both
3/22/2026 11:37,6:00 AM - 8:00 AM,10:00 PM - 12:00 AM,Night (9 PM - 12 PM),1,I am a night person
3/22/2026 13:23,8:00 AM - 10:00 AM,10:00 PM - 12:00 AM,Evening (6 PM - 9 PM),3,I am a night person
